ticker,primary_source_family,primary_last_price_date,primary_last_close,provider_name,source_family,candidate_independent_from_primary,provider_last_price_date,provider_last_close,price_date_gap_days,price_abs_diff,price_pct_diff,provider_is_current_enough,comparison_status,manual_review_flag
VJC,vnstock_vci,2026-06-11,177.5,vietfin,unknown_brokerage_api,False,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
VTZ,vnstock_vci,2026-06-11,20.5,vietfin,unknown_brokerage_api,False,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
YEG,vnstock_vci,2026-06-11,8.53,vietfin,unknown_brokerage_api,False,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
VCI,vnstock_vci,2026-06-11,23.4,vietfin,unknown_brokerage_api,False,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
VFS,vnstock_vci,2026-06-11,10.3,vietfin,unknown_brokerage_api,False,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
VDS,vnstock_vci,2026-06-11,13.85,vietfin,unknown_brokerage_api,False,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
VIG,vnstock_vci,2026-06-11,4.4,vietfin,unknown_brokerage_api,False,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
TVS,vnstock_vci,2026-06-11,12.95,vietfin,unknown_brokerage_api,False,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
VRE,vnstock_vci,2026-06-11,29.15,vietfin,unknown_brokerage_api,False,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
VNE,vnstock_vci,2026-06-11,3.01,vietfin,unknown_brokerage_api,False,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
VOS,vnstock_vci,2026-06-11,11.8,vietfin,unknown_brokerage_api,False,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
VTP,vnstock_vci,2026-06-11,64.0,vietfin,unknown_brokerage_api,False,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
TLH,vnstock_vci,2026-06-11,4.38,vietfin,unknown_brokerage_api,False,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
VIX,vnstock_vci,2026-06-11,16.85,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
VND,vnstock_vci,2026-06-11,17.2,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
VSC,vnstock_vci,2026-06-11,18.45,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
VGI,vnstock_vci,2026-06-11,89.4,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
